East Midlands,East of England,East Scotland,London,North East England,North Scotland,North West England,South East England,South West England,West Midlands,West Scotland,Yorkshire and Humber,Isle of Man,Northern Ireland,Wales
664.7983534,631.0506085,1189.332191,734.8807977,FALSE,1578.721467,1380.042127,836.3476751,922.9238127,696.6683035,1765.61798,TRUE,1241.414601,1151.032749,1278.228898
605.3976461,534.0538599,1076.316146,541.2083257,FALSE,1711.104765,1164.733358,635.7225387,963.2976268,665.3558646,1557.638161,TRUE,1197.516241,1038.972246,1348.904808
517.9189877,430.8439945,1057.420871,444.1138362,FALSE,1540.792097,1045.059897,537.9089244,695.2260386,536.5366175,1255.772611,TRUE,1083.373083,891.760086,1035.305222
679.9519215,749.8156939,919.1172865,739.9243453,TRUE,1316.353596,951.8927013,884.5718152,1131.216596,704.4944645,1141.806476,TRUE,1053.835045,1037.994722,1280.93422
759.1859651,704.2962475,1146.704611,760.9514695,FALSE,1539.704914,1421.622426,868.7051783,1144.568942,812.3951265,1637.374041,TRUE,1304.70655,1139.055652,1456.935988
686.2524545,654.6691566,1032.229673,636.202688,FALSE,1365.726375,1067.567864,733.8049747,1028.467386,740.3473213,1362.961306,TRUE,1060.649715,1153.393587,1311.693153
634.9437691,571.5646955,1222.085857,613.1618852,FALSE,1902.99483,1132.435825,790.7340156,1075.142703,723.4265015,1698.536801,TRUE,1216.036108,1084.434172,1370.324433
734.7163352,669.5137847,984.9386731,639.7664126,FALSE,1598.635455,1166.848437,764.7962789,995.3210702,804.6160102,1406.729493,TRUE,1116.872658,1111.535138,1441.583565
555.7890164,488.8201534,843.8589859,498.2258369,FALSE,1217.028628,957.734636,579.4365677,733.5704866,582.217287,1157.484779,TRUE,950.838745,1002.416007,1211.376582
639.1946196,597.7183271,1057.856241,605.376741,TRUE,1337.689047,1059.895208,702.5132855,997.7396036,746.8555332,1475.424889,TRUE,1004.112252,992.0768501,1286.895536
948.0146554,887.3875137,1668.874075,833.8179572,FALSE,1761.104523,1583.500261,1034.070308,1412.706143,1151.701836,2076.757782,TRUE,1694.027434,1453.64593,2013.694253
582.269167,582.2954468,1127.454215,589.2257066,FALSE,1536.737795,1103.075982,699.6037053,951.3216192,664.0217288,1521.889029,TRUE,888.4584464,905.9983315,1202.570038
545.9725686,466.3107893,1097.000964,504.8829,FALSE,1616.887977,1208.50471,683.4694075,1021.263364,688.5434764,1640.904214,TRUE,1007.41186,988.8271209,1370.95513
824.5343416,720.5366358,1140.530911,722.8084424,FALSE,1349.100327,1110.456218,873.6253329,1183.2938,931.6848484,1444.321165,TRUE,1126.277814,1065.054949,1430.305314
844.2082195,731.2364987,1312.123831,691.645728,FALSE,1408.842012,1173.74804,865.9188304,1215.82082,905.8630648,1542.224133,TRUE,1183.824489,1187.348397,1447.86525
787.4856302,737.3971378,1459.488745,757.4829236,TRUE,1862.42906,1538.4797,925.2263053,1196.467106,903.9690115,2094.467434,TRUE,1640.114732,1298.695585,1731.286293
760.2423216,693.6927056,1058.796497,761.4341404,FALSE,1462.876476,1085.267166,806.1841417,1068.995366,894.954094,1281.817701,TRUE,1045.168351,1027.90093,1342.346424
750.1195961,750.5305206,1015.88626,839.441146,FALSE,1279.315591,1061.260485,887.8596363,1084.551528,836.8488652,1269.607502,TRUE,1204.596021,1064.638991,1338.571545
909.6907817,736.1395976,984.9951881,758.3018999,FALSE,1408.520371,1136.365134,867.648855,1007.881169,871.1107338,1202.528845,TRUE,1014.584662,968.8437658,1361.277933
762.3026776,667.5451219,1115.760723,691.5132126,FALSE,1386.670694,1240.667453,782.2937943,994.9598754,745.1824845,1449.341874,TRUE,1300.820209,1052.449226,1294.306951
923.6663094,784.4401715,1295.08493,691.026912,FALSE,1673.218668,1378.549398,866.7763068,1262.30286,1009.381826,1711.041024,TRUE,1398.158799,1224.503843,1707.094365
826.6609083,699.3075823,1235.674546,606.7912536,FALSE,1593.363397,1249.175677,732.2402743,998.5749113,790.8762188,1657.64163,TRUE,1204.233639,1160.332187,1405.759599
546.2554548,486.1244851,1172.427992,501.0754856,FALSE,1605.693943,1096.303182,608.1958907,867.9298152,646.969013,1672.469521,TRUE,1150.781997,1119.421474,1310.906153
715.7934671,685.9340801,1050.949486,675.0951955,FALSE,1448.821675,1058.859424,744.1440121,990.543848,748.8194616,1373.028997,TRUE,1122.018763,915.8870063,1323.184571
790.4441558,652.3508236,1088.262711,667.191894,FALSE,1426.214438,1311.957395,840.0382852,1091.552017,877.0564157,1415.175867,TRUE,1357.662903,1175.362505,1595.93556
476.734199,466.1266901,857.8434098,511.1339026,FALSE,1307.383452,816.9421906,595.8049225,710.9409623,545.0634366,1165.142822,TRUE,764.625345,824.7832457,993.1257853
638.6936531,615.8396672,1089.137859,695.8232654,FALSE,1431.00045,1051.06411,761.7193148,978.0573994,711.0256999,1317.314088,TRUE,1133.622668,1070.916755,1263.306817
699.6836003,657.467185,953.3810947,626.3652301,TRUE,1335.329842,1007.216906,684.2545822,835.1950716,713.7859674,1251.320524,TRUE,1024.737684,1080.583602,1110.192563
542.182351,556.5286581,1174.552766,546.4415032,FALSE,1663.583907,1145.440345,638.9060626,867.6005109,596.391665,1531.612104,TRUE,1212.61822,1075.008906,1173.492862
739.5226073,664.4680086,1138.423607,695.948985,FALSE,1541.216422,1278.410917,865.1827133,1126.991305,825.6925839,1472.681599,TRUE,1246.028088,1061.595941,1438.289479
622.7058969,674.6320696,1057.512237,590.5656,FALSE,1546.543472,1198.772988,664.4418414,747.4785074,620.7901005,1401.037924,TRUE,1153.654494,1064.391709,1082.355684
527.8240327,527.2799105,992.2860661,510.7825174,FALSE,1673.589381,1067.53803,610.0782231,800.3748004,581.5230794,1354.680433,TRUE,973.3503641,941.8838036,1097.76975
640.2551654,651.043499,1248.156493,707.9782658,FALSE,1576.310923,1247.246398,880.4711451,1119.924972,733.0660448,1515.127453,TRUE,1184.503002,1079.376171,1376.408663
645.7055922,558.6734223,1115.702874,539.5111348,FALSE,1421.024092,1052.069633,672.5536641,944.9663885,645.9094494,1224.202027,TRUE,982.4596525,1016.296996,1140.661903
667.757941,611.6179996,1054.359081,611.3506428,FALSE,1583.398366,1118.121454,713.6818798,797.3401227,620.8471731,1380.072587,TRUE,1141.594414,1077.009449,1198.147289
665.1874886,558.1001045,1155.779521,576.5957336,FALSE,1393.496272,1241.728908,715.1916857,1050.055666,715.28411,1505.496245,TRUE,1205.019846,1192.663887,1377.30632
567.8404383,499.9101797,1119.498004,457.2626844,FALSE,1800.929866,1144.593189,584.359697,810.8475104,598.2246858,1514.531265,TRUE,1057.029175,1057.825403,1242.970547
623.1229176,559.3915524,1175.875143,565.1539303,FALSE,1525.188517,1140.476379,652.8340504,893.3275368,685.1463837,1505.68953,TRUE,1243.072247,1141.678277,1214.85611
753.5907802,602.825167,1341.239823,581.759555,TRUE,1734.915193,1267.7053,739.5920645,1031.841998,814.5468281,1636.389784,TRUE,1349.148753,1260.047945,1399.371336
609.643623,484.8421794,1009.033478,507.9393119,FALSE,1402.421621,975.0909853,603.5235877,842.4548561,655.8068544,1364.169434,TRUE,1238.962507,1101.856622,1192.342606
595.4637064,496.5754791,950.7193739,529.0265869,FALSE,1348.299465,935.9425232,608.0451303,823.2893557,663.0823863,1245.966067,TRUE,1148.212595,1051.966774,1061.669816
839.9130587,785.7489375,1483.330849,948.0134517,FALSE,2002.895244,1537.990517,998.2941307,1258.432574,943.4253872,1967.442413,TRUE,1519.461842,1337.496442,1765.390498
584.1285014,505.2126813,1001.862613,540.9729547,FALSE,1553.826301,1053.992726,681.2903009,959.712821,611.9822011,1470.231283,TRUE,1071.615687,1081.666035,1186.161303
557.6451073,534.3769274,1013.556734,572.4160591,FALSE,1562.958795,990.5400297,652.3056667,801.2326525,608.4054619,1376.980402,TRUE,988.951492,999.5428348,1098.646912
685.7454328,633.3334005,1193.516044,626.1475691,FALSE,1724.040042,1219.644927,751.8468285,939.4036301,697.9817105,1558.856253,TRUE,1192.495018,1124.953636,1337.720582
