three_yr_moving_avg_rainfall,rising_from_prev_year,original_rainfall
NAN,NAN,631.050598,
NAN,FALSE,534.053833,
531.982849,FALSE,430.843994,
571.571167,TRUE,749.815674,
628.318665,FALSE,704.296265,
702.927002,FALSE,654.669128,
643.510010,FALSE,571.564697,
631.915894,TRUE,669.513794,
576.632874,FALSE,488.820160,
585.350769,TRUE,597.718323,
657.975342,TRUE,887.387512,
689.133789,FALSE,582.295471,
645.331238,FALSE,466.310791,
589.714294,TRUE,720.536621,
639.361328,TRUE,731.236511,
729.723450,TRUE,737.397156,
720.775452,FALSE,693.692688,
727.206787,TRUE,750.530518,
726.787598,FALSE,736.139587,
718.071777,FALSE,667.545105,
729.375000,TRUE,784.440186,
717.097656,FALSE,699.307556,
656.624084,FALSE,486.124481,
623.788696,TRUE,685.934082,
608.136475,FALSE,652.350830,
601.470520,FALSE,466.126678,
578.105713,TRUE,615.839661,
579.811157,TRUE,657.467163,
609.945190,FALSE,556.528687,
626.154602,TRUE,664.468018,
631.876282,TRUE,674.632080,
622.126648,FALSE,527.279907,
617.651855,TRUE,651.043518,
578.998962,FALSE,558.673401,
607.111633,TRUE,611.617981,
576.130493,FALSE,558.100098,
556.542725,FALSE,499.910187,
539.133972,TRUE,559.391541,
554.042297,TRUE,602.825195,
549.019653,FALSE,484.842194,
528.080933,TRUE,496.575470,
589.055542,TRUE,785.748962,
595.845703,FALSE,505.212677,
608.446228,TRUE,534.376953,
557.640991,TRUE,633.333374,
584.339294,FALSE,585.307495,
586.196777,FALSE,539.949402,
600.175232,TRUE,675.268860,
635.357666,TRUE,690.854736,
648.778259,FALSE,580.211121,
682.335510,TRUE,775.940552,
631.972900,FALSE,539.767151,
649.657532,TRUE,633.264954,
621.919128,TRUE,692.725159,
690.820312,TRUE,746.470947,
687.606995,FALSE,623.624939,
679.713562,TRUE,669.044800,
650.733398,FALSE,659.530518,
625.279785,FALSE,547.264099,
517.235413,FALSE,344.911530,
508.614166,TRUE,633.666809,
529.877197,FALSE,611.053284,
656.386230,TRUE,724.438660,
644.810364,FALSE,598.939087,
644.929749,TRUE,611.411560,
651.882263,TRUE,745.296143,
656.769714,FALSE,613.601318,
632.132996,FALSE,537.501526,
608.766174,TRUE,675.195801,
614.434509,FALSE,630.606323,
627.480164,FALSE,576.638367,
559.303040,FALSE,470.664520,
515.695679,TRUE,499.784149,
537.788147,TRUE,642.915771,
606.214966,TRUE,675.944946,
687.693420,TRUE,744.219666,
644.668396,FALSE,513.840576,
670.682922,TRUE,753.988403,
622.815308,FALSE,600.616943,
656.821106,TRUE,615.858032,
603.705139,FALSE,594.640564,
564.236023,FALSE,482.209442,
552.344543,TRUE,580.183777,
536.678528,FALSE,547.642395,
614.250549,TRUE,714.925598,
583.853821,FALSE,488.993378,
602.482971,TRUE,603.530090,
527.626526,FALSE,490.356079,
583.313171,TRUE,656.053345,
625.959778,TRUE,731.469849,
671.385437,FALSE,626.632996,
620.883362,FALSE,504.547363,
603.396790,TRUE,679.010010,
567.384216,FALSE,518.595276,
592.110901,TRUE,578.727478,
559.122742,TRUE,580.045471,
633.888733,TRUE,742.893372,
601.199951,FALSE,480.661072,
664.242371,TRUE,769.172668,
618.212585,FALSE,604.804016,
633.889099,FALSE,527.690491,
568.119568,TRUE,571.864075,
529.724487,FALSE,489.618896,
585.540344,TRUE,695.138245,
622.786316,FALSE,683.601868,
661.299927,FALSE,605.159668,
661.284180,TRUE,695.091003,
638.942444,FALSE,616.576660,
642.674866,FALSE,616.356873,
599.340637,FALSE,565.088257,
553.684692,FALSE,479.609009,
514.063171,TRUE,497.492279,
549.850098,TRUE,672.448914,
574.780945,FALSE,554.401550,
580.055359,FALSE,513.315613,
546.399475,TRUE,571.481201,
566.500183,TRUE,614.703613,
617.924561,TRUE,667.588867,
623.320557,FALSE,587.669128,
635.962585,TRUE,652.629639,
632.112732,TRUE,656.039307,
625.027100,FALSE,566.412415,
619.716309,TRUE,636.697266,
595.263123,FALSE,582.679688,
620.269409,TRUE,641.431274,
642.631165,TRUE,703.782532,
658.087585,FALSE,629.048950,
623.946960,FALSE,539.009277,
550.387268,FALSE,483.103485,
500.524170,FALSE,479.459656,
554.249268,TRUE,700.184753,
632.810608,TRUE,718.787476,
678.702454,FALSE,617.135193,
628.268250,FALSE,548.882202,
541.126892,FALSE,457.363403,
513.257507,TRUE,533.526917,
567.758972,TRUE,712.386658,
638.588562,FALSE,669.852051,
720.153137,TRUE,778.220764,
742.090332,FALSE,778.198120,
754.361816,FALSE,706.666626,
667.107727,FALSE,516.458557,
633.610474,TRUE,677.706177,
574.772339,FALSE,530.152222,
604.768616,TRUE,606.447449,
608.676819,TRUE,689.430786,
660.309143,FALSE,685.049377,
656.677002,FALSE,595.550781,
621.867615,FALSE,585.002808,
544.607239,FALSE,453.268158,
616.046326,TRUE,809.867920,
607.933533,FALSE,560.664368,
702.076843,TRUE,735.698181,
626.582825,FALSE,583.385925,
635.791565,TRUE,588.290649,
591.654724,TRUE,603.287537,
582.454163,FALSE,555.784302,
596.013916,TRUE,628.970032,
626.834290TRUE695.748596
