original_rainfall,rising_from_prev_year,three_yr_moving_avg_rainfall
631.050598,NAN,NAN,
534.053833,FALSE,NAN,
430.843994,FALSE,531.982849,
749.815674,TRUE,571.571167,
704.296265,FALSE,628.318665,
654.669128,FALSE,702.927002,
571.564697,FALSE,643.510010,
669.513794,TRUE,631.915894,
488.820160,FALSE,576.632874,
597.718323,TRUE,585.350769,
887.387512,TRUE,657.975342,
582.295471,FALSE,689.133789,
466.310791,FALSE,645.331238,
720.536621,TRUE,589.714294,
731.236511,TRUE,639.361328,
737.397156,TRUE,729.723450,
693.692688,FALSE,720.775452,
750.530518,TRUE,727.206787,
736.139587,FALSE,726.787598,
667.545105,FALSE,718.071777,
784.440186,TRUE,729.375000,
699.307556,FALSE,717.097656,
486.124481,FALSE,656.624084,
685.934082,TRUE,623.788696,
652.350830,FALSE,608.136475,
466.126678,FALSE,601.470520,
615.839661,TRUE,578.105713,
657.467163,TRUE,579.811157,
556.528687,FALSE,609.945190,
664.468018,TRUE,626.154602,
674.632080,TRUE,631.876282,
527.279907,FALSE,622.126648,
651.043518,TRUE,617.651855,
558.673401,FALSE,578.998962,
611.617981,TRUE,607.111633,
558.100098,FALSE,576.130493,
499.910187,FALSE,556.542725,
559.391541,TRUE,539.133972,
602.825195,TRUE,554.042297,
484.842194,FALSE,549.019653,
496.575470,TRUE,528.080933,
785.748962,TRUE,589.055542,
505.212677,FALSE,595.845703,
534.376953,TRUE,608.446228,
633.333374,TRUE,557.640991,
585.307495,FALSE,584.339294,
539.949402,FALSE,586.196777,
675.268860,TRUE,600.175232,
690.854736,TRUE,635.357666,
580.211121,FALSE,648.778259,
775.940552,TRUE,682.335510,
539.767151,FALSE,631.972900,
633.264954,TRUE,649.657532,
692.725159,TRUE,621.919128,
746.470947,TRUE,690.820312,
623.624939,FALSE,687.606995,
669.044800,TRUE,679.713562,
659.530518,FALSE,650.733398,
547.264099,FALSE,625.279785,
344.911530,FALSE,517.235413,
633.666809,TRUE,508.614166,
611.053284,FALSE,529.877197,
724.438660,TRUE,656.386230,
598.939087,FALSE,644.810364,
611.411560,TRUE,644.929749,
745.296143,TRUE,651.882263,
613.601318,FALSE,656.769714,
537.501526,FALSE,632.132996,
675.195801,TRUE,608.766174,
630.606323,FALSE,614.434509,
576.638367,FALSE,627.480164,
470.664520,FALSE,559.303040,
499.784149,TRUE,515.695679,
642.915771,TRUE,537.788147,
675.944946,TRUE,606.214966,
744.219666,TRUE,687.693420,
513.840576,FALSE,644.668396,
753.988403,TRUE,670.682922,
600.616943,FALSE,622.815308,
615.858032,TRUE,656.821106,
594.640564,FALSE,603.705139,
482.209442,FALSE,564.236023,
580.183777,TRUE,552.344543,
547.642395,FALSE,536.678528,
714.925598,TRUE,614.250549,
488.993378,FALSE,583.853821,
603.530090,TRUE,602.482971,
490.356079,FALSE,527.626526,
656.053345,TRUE,583.313171,
731.469849,TRUE,625.959778,
626.632996,FALSE,671.385437,
504.547363,FALSE,620.883362,
679.010010,TRUE,603.396790,
518.595276,FALSE,567.384216,
578.727478,TRUE,592.110901,
580.045471,TRUE,559.122742,
742.893372,TRUE,633.888733,
480.661072,FALSE,601.199951,
769.172668,TRUE,664.242371,
604.804016,FALSE,618.212585,
527.690491,FALSE,633.889099,
571.864075,TRUE,568.119568,
489.618896,FALSE,529.724487,
695.138245,TRUE,585.540344,
683.601868,FALSE,622.786316,
605.159668,FALSE,661.299927,
695.091003,TRUE,661.284180,
616.576660,FALSE,638.942444,
616.356873,FALSE,642.674866,
565.088257,FALSE,599.340637,
479.609009,FALSE,553.684692,
497.492279,TRUE,514.063171,
672.448914,TRUE,549.850098,
554.401550,FALSE,574.780945,
513.315613,FALSE,580.055359,
571.481201,TRUE,546.399475,
614.703613,TRUE,566.500183,
667.588867,TRUE,617.924561,
587.669128,FALSE,623.320557,
652.629639,TRUE,635.962585,
656.039307,TRUE,632.112732,
566.412415,FALSE,625.027100,
636.697266,TRUE,619.716309,
582.679688,FALSE,595.263123,
641.431274,TRUE,620.269409,
703.782532,TRUE,642.631165,
629.048950,FALSE,658.087585,
539.009277,FALSE,623.946960,
483.103485,FALSE,550.387268,
479.459656,FALSE,500.524170,
700.184753,TRUE,554.249268,
718.787476,TRUE,632.810608,
617.135193,FALSE,678.702454,
548.882202,FALSE,628.268250,
457.363403,FALSE,541.126892,
533.526917,TRUE,513.257507,
712.386658,TRUE,567.758972,
669.852051,FALSE,638.588562,
778.220764,TRUE,720.153137,
778.198120,FALSE,742.090332,
706.666626,FALSE,754.361816,
516.458557,FALSE,667.107727,
677.706177,TRUE,633.610474,
530.152222,FALSE,574.772339,
606.447449,TRUE,604.768616,
689.430786,TRUE,608.676819,
685.049377,FALSE,660.309143,
595.550781,FALSE,656.677002,
585.002808,FALSE,621.867615,
453.268158,FALSE,544.607239,
809.867920,TRUE,616.046326,
560.664368,FALSE,607.933533,
735.698181,TRUE,702.076843,
583.385925,FALSE,626.582825,
588.290649,TRUE,635.791565,
603.287537,TRUE,591.654724,
555.784302,FALSE,582.454163,
628.970032,TRUE,596.013916,
695.748596TRUE626.834290
